Token: INT_LITERAL, Lexema: 4, Línea: 17, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 17, Columna: 15, Tabla: N/A
Token: INT, Lexema: INT, Línea: 18, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: r, Línea: 18, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 18, Columna: 11, Tabla: N/A
Token: INT_LITERAL, Lexema: 4, Línea: 18, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 18, Columna: 15, Tabla: N/A
Token: INT, Lexema: INT, Línea: 20, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: resultado1, Línea: 20, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 20, Columna: 20, Tabla: N/A
Token: ID, Lexema: carlos, Línea: 20, Columna: 22, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 20, Columna: 29, Tabla: N/A
Token: ID, Lexema: d, Línea: 20, Columna: 31, Tabla: VARIABLES
Token: COMMA, Lexema: COMMA, Línea: 20, Columna: 32, Tabla: N/A
Token: ID, Lexema: r, Línea: 20, Columna: 34, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 20, Columna: 36, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 20, Columna: 38, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 21, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 21, Columna: 11, Tabla: N/A
Token: ID, Lexema: resultado1, Línea: 21, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 21, Columna: 24, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 21, Columna: 26, Tabla: N/A
Token: INT, Lexema: INT, Línea: 23, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: resultado2, Línea: 23, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 23, Columna: 20, Tabla: N/A
Token: ID, Lexema: factorial, Línea: 23, Columna: 22, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 23, Columna: 32, Tabla: N/A
Token: INT_LITERAL, Lexema: 5, Línea: 23, Columna: 34, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 23, Columna: 36, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 23, Columna: 38, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 24, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 24, Columna: 11, Tabla: N/A
Token: ID, Lexema: resultado2, Línea: 24, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 24, Columna: 24, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 24, Columna: 26, Tabla: N/A
Token: FOR, Lexema: FOR, Línea: 27, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 27, Columna: 9, Tabla: N/A
Token: INT, Lexema: INT, Línea: 27, Columna: 11, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: k, Línea: 27, Columna: 15, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 27, Columna: 17, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 27, Columna: 19, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 27, Columna: 21, Tabla: N/A
Token: ID, Lexema: k, Línea: 27, Columna: 23, Tabla: VARIABLES
Token: LT, Lexema: LT, Línea: 27, Columna: 25, Tabla: N/A
Token: INT_LITERAL, Lexema: 7, Línea: 27, Columna: 27, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 27, Columna: 29, Tabla: N/A
Token: INCREMENT, Lexema: INCREMENT, Línea: 27, Columna: 31, Tabla: N/A
Token: ID, Lexema: k, Línea: 27, Columna: 33, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 27, Columna: 35, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 27, Columna: 37, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 28, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 28, Columna: 15, Tabla: N/A
