Token: GT, Lexema: null, Línea: 14, Columna: 19, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 5.6, Línea: 14, Columna: 20, Tabla: N/A
Token: RPAREN, Lexema: null, Línea: 14, Columna: 24, Tabla: N/A
Token: LBLOCK, Lexema: null, Línea: 14, Columna: 27, Tabla: N/A
Token: COMMENT_LINE, Lexema: null, Línea: 14, Columna: 30, Tabla: N/A
Token: INT, Lexema: null, Línea: 15, Columna: 4, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: y, Línea: 15, Columna: 8, Tabla: VARIABLES
Token: QUESTION, Lexema: null, Línea: 15, Columna: 9, Tabla: N/A
Token: ID, Lexema: x22, Línea: 16, Columna: 4, Tabla: VARIABLES
Token: ASSIGN, Lexema: null, Línea: 16, Columna: 7, Tabla: N/A
Token: INT_LITERAL, Lexema: 10, Línea: 16, Columna: 8, Tabla: N/A
Token: QUESTION, Lexema: null, Línea: 16, Columna: 10, Tabla: N/A
Token: CHAR, Lexema: null, Línea: 17, Columna: 4, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: ch33, Línea: 17, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: null, Línea: 17, Columna: 13, Tabla: N/A
Token: CHAR_LITERAL, Lexema: a, Línea: 17, Columna: 14, Tabla: N/A
Token: QUESTION, Lexema: null, Línea: 17, Columna: 17, Tabla: N/A
Token: RBLOCK, Lexema: null, Línea: 18, Columna: 4, Tabla: N/A
Token: ELIF, Lexema: null, Línea: 19, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: null, Línea: 19, Columna: 8, Tabla: N/A
Token: ID, Lexema: x24, Línea: 19, Columna: 10, Tabla: VARIABLES
Token: GTE, Lexema: null, Línea: 19, Columna: 13, Tabla: N/A
Token: ID, Lexema: var, Línea: 19, Columna: 16, Tabla: VARIABLES
Token: RPAREN, Lexema: null, Línea: 19, Columna: 20, Tabla: N/A
Token: LBLOCK, Lexema: null, Línea: 19, Columna: 23, Tabla: N/A
Token: COMMENT_LINE, Lexema: null, Línea: 19, Columna: 26, Tabla: N/A
Token: INT, Lexema: null, Línea: 20, Columna: 4, Tabla: PALABRAS_RESERVADAS
