Token: QUESTION, Lexema: QUESTION, Línea: 14, Columna: 29, Tabla: N/A
Token: INT, Lexema: INT, Línea: 15, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: segundo, Línea: 15, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 15, Columna: 17, Tabla: N/A
Token: ID, Lexema: numeros, Línea: 15, Columna: 19, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 15, Columna: 26, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 15, Columna: 27, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 15, Columna: 28, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 15, Columna: 29, Tabla: N/A
Token: INT, Lexema: INT, Línea: 16, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: tercero, Línea: 16, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 16, Columna: 17, Tabla: N/A
Token: ID, Lexema: numeros, Línea: 16, Columna: 19, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 16, Columna: 26, Tabla: N/A
Token: INT_LITERAL, Lexema: 2, Línea: 16, Columna: 27, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 16, Columna: 28, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 16, Columna: 29, Tabla: N/A
Token: DIVIDE, Lexema: DIVIDE, Línea: 18, Columna: 5, Tabla: N/A
Token: ID, Lexema: Imprimir, Línea: 18, Columna: 8, Tabla: VARIABLES
Token: ID, Lexema: valores, Línea: 18, Columna: 17, Tabla: VARIABLES
Token: WRITE, Lexema: WRITE, Línea: 19, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 19, Columna: 11, Tabla: N/A
Token: STRING_LITERAL, Lexema: Array[0]:, Línea: 19, Columna: 13, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 19, Columna: 25, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 19, Columna: 27, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 20, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 20, Columna: 11, Tabla: N/A
Token: ID, Lexema: primero, Línea: 20, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 20, Columna: 21, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 20, Columna: 23, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 22, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 22, Columna: 11, Tabla: N/A
Token: STRING_LITERAL, Lexema: Array[1]:, Línea: 22, Columna: 13, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 22, Columna: 25, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 22, Columna: 27, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 23, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 23, Columna: 11, Tabla: N/A
Token: ID, Lexema: segundo, Línea: 23, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 23, Columna: 21, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 23, Columna: 23, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 25, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 25, Columna: 11, Tabla: N/A
Token: STRING_LITERAL, Lexema: Array[2]:, Línea: 25, Columna: 13, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 25, Columna: 25, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 25, Columna: 27, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 26, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 26, Columna: 11, Tabla: N/A
Token: ID, Lexema: tercero, Línea: 26, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 26, Columna: 21, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 26, Columna: 23, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 27, Columna: 1, Tabla: N/A
Token: VOID, Lexema: VOID, Línea: 29, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: testStrings, Línea: 29, Columna: 6, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 29, Columna: 18, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 29, Columna: 20, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 29, Columna: 22, Tabla: N/A
Token: DIVIDE, Lexema: DIVIDE, Línea: 30, Columna: 5, Tabla: N/A
Token: ID, Lexema: Strings, Línea: 30, Columna: 8, Tabla: VARIABLES
Token: ID, Lexema: literales, Línea: 30, Columna: 16, Tabla: VARIABLES
Token: STRING, Lexema: STRING, Línea: 31, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: mensaje, Línea: 31, Columna: 12, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 31, Columna: 20, Tabla: N/A
Token: STRING_LITERAL, Lexema: Hola_mundo!, Línea: 31, Columna: 22, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 31, Columna: 36, Tabla: N/A
Token: STRING, Lexema: STRING, Línea: 32, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: saludo, Línea: 32, Columna: 12, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 32, Columna: 19, Tabla: N/A
Token: STRING_LITERAL, Lexema: Buenos_dias, Línea: 32, Columna: 21, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 32, Columna: 35, Tabla: N/A
Token: DIVIDE, Lexema: DIVIDE, Línea: 34, Columna: 5, Tabla: N/A
Token: ID, Lexema: Chars, Línea: 34, Columna: 8, Tabla: VARIABLES
Token: ID, Lexema: b, Línea: 34, Columna: 14, Tabla: VARIABLES
Token: ID, Lexema: sicos, Línea: 34, Columna: 16, Tabla: VARIABLES
Token: CHAR, Lexema: CHAR, Línea: 35, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: letra, Línea: 35, Columna: 10, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 35, Columna: 16, Tabla: N/A
Token: CHAR_LITERAL, Lexema: A, Línea: 35, Columna: 18, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 35, Columna: 22, Tabla: N/A
Token: CHAR, Lexema: CHAR, Línea: 36, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: numero, Línea: 36, Columna: 10, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 36, Columna: 17, Tabla: N/A
Token: CHAR_LITERAL, Lexema: 5, Línea: 36, Columna: 19, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 36, Columna: 23, Tabla: N/A
Token: CHAR, Lexema: CHAR, Línea: 37, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: simbolo, Línea: 37, Columna: 10, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 37, Columna: 18, Tabla: N/A
Token: CHAR_LITERAL, Lexema: @, Línea: 37, Columna: 20, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 37, Columna: 24, Tabla: N/A
Token: DIVIDE, Lexema: DIVIDE, Línea: 39, Columna: 5, Tabla: N/A
Token: ID, Lexema: Imprimir, Línea: 39, Columna: 8, Tabla: VARIABLES
Token: ID, Lexema: strings, Línea: 39, Columna: 17, Tabla: VARIABLES
Token: WRITE, Lexema: WRITE, Línea: 40, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 40, Columna: 11, Tabla: N/A
Token: STRING_LITERAL, Lexema: Mensaje:, Línea: 40, Columna: 13, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 40, Columna: 24, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 40, Columna: 26, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 41, Columna: 5, Tabla: PALABRAS_RESERVADAS
