Token: VOID, Lexema: VOID, Línea: 1, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: MAIN, Lexema: MAIN, Línea: 1, Columna: 6, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 1, Columna: 11, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 1, Columna: 13, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 1, Columna: 15, Tabla: N/A
Token: INT, Lexema: INT, Línea: 2, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: contador, Línea: 2, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 2, Columna: 18, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 2, Columna: 20, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 2, Columna: 21, Tabla: N/A
Token: DO, Lexema: DO, Línea: 3, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LBLOCK, Lexema: LBLOCK, Línea: 3, Columna: 8, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 4, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 4, Columna: 15, Tabla: N/A
Token: ID, Lexema: contador, Línea: 4, Columna: 17, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 4, Columna: 26, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 4, Columna: 27, Tabla: N/A
Token: ID, Lexema: contador, Línea: 5, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 5, Columna: 18, Tabla: N/A
Token: ID, Lexema: contador, Línea: 5, Columna: 20, Tabla: VARIABLES
Token: PLUS, Lexema: PLUS, Línea: 5, Columna: 29, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 5, Columna: 31, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 5, Columna: 32, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 6, Columna: 5, Tabla: N/A
Token: WHILE, Lexema: WHILE, Línea: 6, Columna: 7, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 6, Columna: 13, Tabla: N/A
Token: ID, Lexema: contador, Línea: 6, Columna: 15, Tabla: VARIABLES
Token: LTE, Lexema: LTE, Línea: 6, Columna: 24, Tabla: N/A
Token: INT_LITERAL, Lexema: 6, Línea: 6, Columna: 27, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 6, Columna: 29, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 6, Columna: 30, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 7, Columna: 1, Tabla: N/A
