Token: GT, Lexema: GT, Línea: 13, Columna: 16, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 5.6, Línea: 13, Columna: 17, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 13, Columna: 21, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 13, Columna: 24, Tabla: N/A
Token: INT, Lexema: INT, Línea: 14, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: y, Línea: 14, Columna: 7, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 14, Columna: 8, Tabla: N/A
Token: ID, Lexema: x30, Línea: 15, Columna: 3, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 15, Columna: 6, Tabla: N/A
Token: INT_LITERAL, Lexema: 10, Línea: 15, Columna: 7, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 15, Columna: 9, Tabla: N/A
Token: CHAR, Lexema: CHAR, Línea: 16, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: ch33, Línea: 16, Columna: 8, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 16, Columna: 12, Tabla: N/A
Token: CHAR_LITERAL, Lexema: a, Línea: 16, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 16, Columna: 16, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 17, Columna: 3, Tabla: N/A
Token: ELIF, Lexema: ELIF, Línea: 18, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 18, Columna: 7, Tabla: N/A
Token: ID, Lexema: x24, Línea: 18, Columna: 9, Tabla: VARIABLES
Token: GTE, Lexema: GTE, Línea: 18, Columna: 12, Tabla: N/A
Token: ID, Lexema: z, Línea: 18, Columna: 15, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 18, Columna: 17, Tabla: N/A
