Token: INT, Lexema: INT, Línea: 1, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: filo, Línea: 1, Columna: 5, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 1, Columna: 10, Tabla: N/A
Token: INT, Lexema: INT, Línea: 1, Columna: 12, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: n, Línea: 1, Columna: 16, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 1, Columna: 18, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 1, Columna: 20, Tabla: N/A
Token: IF, Lexema: IF, Línea: 2, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 2, Columna: 8, Tabla: N/A
Token: ID, Lexema: n, Línea: 2, Columna: 10, Tabla: VARIABLES
Token: LTE, Lexema: LTE, Línea: 2, Columna: 12, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 2, Columna: 15, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 2, Columna: 17, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 2, Columna: 19, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 3, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: INT_LITERAL, Lexema: 1, Línea: 3, Columna: 16, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 3, Columna: 18, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 4, Columna: 5, Tabla: N/A
Token: INT, Lexema: INT, Línea: 5, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: temp, Línea: 5, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 5, Columna: 14, Tabla: N/A
Token: ID, Lexema: n, Línea: 5, Columna: 16, Tabla: VARIABLES
Token: MINUS, Lexema: MINUS, Línea: 5, Columna: 18, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 5, Columna: 20, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 5, Columna: 22, Tabla: N/A
Token: INT, Lexema: INT, Línea: 6, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: recurse, Línea: 6, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 6, Columna: 17, Tabla: N/A
Token: ID, Lexema: filo, Línea: 6, Columna: 19, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 6, Columna: 24, Tabla: N/A
Token: ID, Lexema: temp, Línea: 6, Columna: 26, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 6, Columna: 31, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 6, Columna: 33, Tabla: N/A
Token: INT, Lexema: INT, Línea: 7, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: resultado, Línea: 7, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 7, Columna: 19, Tabla: N/A
Token: ID, Lexema: n, Línea: 7, Columna: 21, Tabla: VARIABLES
Token: TIMES, Lexema: TIMES, Línea: 7, Columna: 23, Tabla: N/A
Token: ID, Lexema: recurse, Línea: 7, Columna: 25, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 7, Columna: 33, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 8, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: resultado, Línea: 8, Columna: 12, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 8, Columna: 22, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 9, Columna: 1, Tabla: N/A
Token: INT, Lexema: INT, Línea: 12, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: azul, Línea: 12, Columna: 5, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 12, Columna: 10, Tabla: N/A
Token: INT, Lexema: INT, Línea: 12, Columna: 12, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: n, Línea: 12, Columna: 16, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 12, Columna: 18, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 12, Columna: 20, Tabla: N/A
Token: IF, Lexema: IF, Línea: 13, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 13, Columna: 8, Tabla: N/A
Token: ID, Lexema: n, Línea: 13, Columna: 10, Tabla: VARIABLES
Token: LTE, Lexema: LTE, Línea: 13, Columna: 12, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 13, Columna: 15, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 13, Columna: 17, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 13, Columna: 19, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 14, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: n, Línea: 14, Columna: 16, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 14, Columna: 18, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 15, Columna: 5, Tabla: N/A
Token: INT, Lexema: INT, Línea: 16, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: temp1, Línea: 16, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 16, Columna: 15, Tabla: N/A
Token: ID, Lexema: n, Línea: 16, Columna: 17, Tabla: VARIABLES
Token: MINUS, Lexema: MINUS, Línea: 16, Columna: 19, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 16, Columna: 21, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 16, Columna: 23, Tabla: N/A
Token: INT, Lexema: INT, Línea: 17, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: temp2, Línea: 17, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 17, Columna: 15, Tabla: N/A
Token: ID, Lexema: n, Línea: 17, Columna: 17, Tabla: VARIABLES
Token: MINUS, Lexema: MINUS, Línea: 17, Columna: 19, Tabla: N/A
Token: INT_LITERAL, Lexema: 2, Línea: 17, Columna: 21, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 17, Columna: 23, Tabla: N/A
Token: INT, Lexema: INT, Línea: 18, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: fib1, Línea: 18, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 18, Columna: 14, Tabla: N/A
Token: ID, Lexema: azul, Línea: 18, Columna: 16, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 18, Columna: 21, Tabla: N/A
Token: ID, Lexema: temp1, Línea: 18, Columna: 23, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 18, Columna: 29, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 18, Columna: 31, Tabla: N/A
Token: INT, Lexema: INT, Línea: 19, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: fib2, Línea: 19, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 19, Columna: 14, Tabla: N/A
Token: ID, Lexema: azul, Línea: 19, Columna: 16, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 19, Columna: 21, Tabla: N/A
Token: ID, Lexema: temp2, Línea: 19, Columna: 23, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 19, Columna: 29, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 19, Columna: 31, Tabla: N/A
Token: INT, Lexema: INT, Línea: 20, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: resultado, Línea: 20, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 20, Columna: 19, Tabla: N/A
Token: ID, Lexema: fib1, Línea: 20, Columna: 21, Tabla: VARIABLES
Token: PLUS, Lexema: PLUS, Línea: 20, Columna: 26, Tabla: N/A
Token: ID, Lexema: fib2, Línea: 20, Columna: 28, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 20, Columna: 33, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 21, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: resultado, Línea: 21, Columna: 12, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 21, Columna: 22, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 22, Columna: 1, Tabla: N/A
Token: INT, Lexema: INT, Línea: 24, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: pocoyo, Línea: 24, Columna: 5, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 24, Columna: 12, Tabla: N/A
Token: INT, Lexema: INT, Línea: 24, Columna: 14, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: base, Línea: 24, Columna: 18, Tabla: VARIABLES
Token: COMMA, Lexema: COMMA, Línea: 24, Columna: 22, Tabla: N/A
Token: INT, Lexema: INT, Línea: 24, Columna: 24, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: exp, Línea: 24, Columna: 28, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 24, Columna: 32, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 24, Columna: 34, Tabla: N/A
Token: IF, Lexema: IF, Línea: 25, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 25, Columna: 8, Tabla: N/A
Token: ID, Lexema: exp, Línea: 25, Columna: 10, Tabla: VARIABLES
Token: LTE, Lexema: LTE, Línea: 25, Columna: 14, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 25, Columna: 17, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 25, Columna: 19, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 25, Columna: 21, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 26, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: INT_LITERAL, Lexema: 1, Línea: 26, Columna: 16, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 26, Columna: 18, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 27, Columna: 5, Tabla: N/A
Token: INT, Lexema: INT, Línea: 28, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: temp, Línea: 28, Columna: 9, Tabla: VARIABLES
