Token: INT, Lexema: INT, Línea: 1, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: multiplicar, Línea: 1, Columna: 5, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 1, Columna: 17, Tabla: N/A
Token: INT, Lexema: INT, Línea: 1, Columna: 19, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: a, Línea: 1, Columna: 23, Tabla: VARIABLES
Token: COMMA, Lexema: COMMA, Línea: 1, Columna: 24, Tabla: N/A
Token: INT, Lexema: INT, Línea: 1, Columna: 26, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: b, Línea: 1, Columna: 30, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 1, Columna: 32, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 1, Columna: 34, Tabla: N/A
Token: INT, Lexema: INT, Línea: 2, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: temp, Línea: 2, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 2, Columna: 14, Tabla: N/A
Token: ID, Lexema: a, Línea: 2, Columna: 16, Tabla: VARIABLES
Token: TIMES, Lexema: TIMES, Línea: 2, Columna: 18, Tabla: N/A
Token: ID, Lexema: b, Línea: 2, Columna: 20, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 2, Columna: 21, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 3, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: temp, Línea: 3, Columna: 12, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 3, Columna: 16, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 4, Columna: 1, Tabla: N/A
Token: VOID, Lexema: VOID, Línea: 6, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: MAIN, Lexema: MAIN, Línea: 6, Columna: 6, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 6, Columna: 11, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 6, Columna: 13, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 6, Columna: 15, Tabla: N/A
Token: INT, Lexema: INT, Línea: 7, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: resultado, Línea: 7, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 7, Columna: 19, Tabla: N/A
Token: ID, Lexema: multiplicar, Línea: 7, Columna: 21, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 7, Columna: 33, Tabla: N/A
Token: INT_LITERAL, Lexema: 4, Línea: 7, Columna: 35, Tabla: N/A
Token: COMMA, Lexema: COMMA, Línea: 7, Columna: 36, Tabla: N/A
Token: INT_LITERAL, Lexema: 3, Línea: 7, Columna: 38, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 7, Columna: 40, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 7, Columna: 41, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 8, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 8, Columna: 11, Tabla: N/A
Token: ID, Lexema: resultado, Línea: 8, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 8, Columna: 23, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 8, Columna: 24, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 9, Columna: 1, Tabla: N/A
