Token: ID, Lexema: var, Línea: 8, Columna: 9, Tabla: VARIABLES
Token: EQ, Lexema: EQ, Línea: 8, Columna: 12, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 8, Columna: 14, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 8, Columna: 16, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 8, Columna: 18, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 9, Columna: 4, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 9, Columna: 10, Tabla: N/A
Token: STRING_LITERAL, Lexema: entra_al_if, Línea: 9, Columna: 12, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 9, Columna: 26, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 9, Columna: 28, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 10, Columna: 4, Tabla: N/A
Token: IF, Lexema: IF, Línea: 11, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 11, Columna: 6, Tabla: N/A
Token: TRUE, Lexema: true, Línea: 11, Columna: 8, Tabla: PALABRAS_RESERVADAS
Token: RPAREN, Lexema: RPAREN, Línea: 11, Columna: 13, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 11, Columna: 15, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 12, Columna: 4, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 12, Columna: 10, Tabla: N/A
Token: ID, Lexema: var, Línea: 12, Columna: 12, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 12, Columna: 16, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 12, Columna: 18, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 13, Columna: 4, Tabla: N/A
